Id,y
0,10000000
1,10000000
2,10000000
3,10000000
4,10000000
5,10000000
6,10000000
7,10000000
8,10000000
9,10000000
10,10000000
11,10000000
12,10000000
13,10000000
14,10000000
15,10000000
16,10000000
17,10000000
18,10000000
19,10000000
20,10000000
21,10000000
22,10000000
23,10000000
24,10000000
25,10000000
26,10000000
27,10000000
28,10000000
29,10000000
30,10000000
31,10000000
32,10000000
33,10000000
34,10000000
35,10000000
36,10000000
37,10000000
38,10000000
39,10000000
40,10000000
41,10000000
42,10000000
43,10000000
44,10000000
45,10000000
46,10000000
47,10000000
48,10000000
49,10000000
50,10000000
51,10000000
52,10000000
53,10000000
54,10000000
55,10000000
56,10000000
57,10000000
58,10000000
59,10000000
60,10000000
61,10000000
62,10000000
63,10000000
64,10000000
65,10000000
66,10000000
67,10000000
68,10000000
69,10000000
