Id,y
0,34549017.01888327
1,34392263.067390576
2,34793653.77159923
3,35682693.71932925
4,36900041.240432434
5,38602225.86954559
6,40984547.28020323
7,43158050.8939787
8,42286094.0498119
9,35620703.487462685
10,24935553.089654844
11,15422245.992984448
12,9777314.064044336
13,7480480.350897161
14,7533728.851608295
15,9651706.466507407
16,13899549.516891446
17,19693179.655294847
18,25457280.954669304
19,29893031.287878674
20,32918424.93058431
21,34923156.23661378
22,35988167.77691703
23,36125857.601350404
24,35764057.49842341
25,35583019.119176656
26,35973191.87427906
27,36860660.84891221
28,38079647.82684143
29,39790379.33617354
30,42192013.31389001
31,44367731.21131063
32,43406611.11754738
33,36507196.04450905
34,25514376.220814224
35,15753739.162940012
36,9970428.585019939
37,7615147.935406185
38,7656284.4765030295
39,9792289.946441272
40,14079070.026321849
41,19916413.023213606
42,25707862.203271188
43,30145779.93196365
44,33155003.662140153
45,35134535.55324668
46,36170474.42938019
47,36278939.664642334
48,35892014.95574892
49,35693151.50069234
50,36073764.37113283
51,36959615.56978427
52,38184911.86959847
53,39911180.69412061
54,42339620.578571714
55,44551811.091756135
56,43622888.808173396
57,36725971.658108205
58,25697330.291510418
59,15887742.613852015
60,10070004.93094428
61,7703484.283007377
62,7758340.775859793
63,9940737.478377776
64,14319428.09186481
65,20295781.98988226
66,26249476.372565024
67,30842494.031058088
68,33989099.17983188
69,36089653.889890425
